YBR180w YDR034c
YBR181c YJR075w
YBR184w YNL225c
YBR185c YER017c
YBR185c YJR063w
YBR186w YDR285w
YBR186w YGL127c
YBR186w YLR200w
YBR186w YLR373c
YBR187w YJR063w
YBR187w YNR032w
YBR187w YPR171w
YBR188c YDR416w
YBR188c YGL070c
YBR188c YIL034c
YBR188c YLL036c
YBR190w YLR117c
YBR192w YER078c
YBR192w YHR114w
YBR193c YDL005c
YBR193c YER022w
YBR193c YGL025c
YBR193c YGL253w
YBR193c YGR104c
YBR193c YHR041c
YBR193c YIL021w
YBR193c YLR295c
YBR193c YOR174w
YBR193c YPR086w
YBR194w YLR113w
YBR194w YLR418c
YBR194w YPR152c
YBR195c YHR004c
YBR195c YJR043c
YBR195c YLR103c
YBR195c YLR418c
YBR195c YNL183c
YBR195c YPR018w
YBR196c YDL215c
YBR196c YGL229c
YBR197c YLR288c
YBR198c YDR145w
YBR198c YDR167w
YBR198c YDR176w
YBR198c YDR259c
YBR198c YDR392w
YBR198c YGL112c
YBR198c YGR252w
YBR198c YML061c
YBR198c YMR236w
YBR198c YOL148c
YBR198c YPL254w
YBR200w YBR234c
YBR200w YCR038c
YBR200w YDL029w
YBR200w YDL178w
YBR200w YDR103w
YBR200w YDR264c
YBR200w YEL043w
YBR200w YER016w
YBR200w YER114c
YBR200w YFL039c
YBR200w YGL233w
YBR200w YGR134w
YBR200w YHL007c
YBR200w YHR129c
YBR200w YIL118w
YBR200w YJL020c
YBR200w YJL157c
YBR200w YKL079w
YBR200w YKL190w
YBR200w YKR055w
YBR200w YLR200w
YBR200w YLR229c
YBR200w YNL271c
YBR200w YOR326w
YBR200w YPL031c
YBR201w YLR288c
YBR202w YEL032w
YBR202w YLR103c
YBR204c YPL096w
YBR205w YFL038c
YBR205w YGL212w
YBR205w YHR016c
YBR205w YHR105w
YBR205w YHR114w
YBR205w YLR338w
YBR205w YMR060c
YBR205w YPR107c
YBR207w YGR152c
YBR209w YPR086w
YBR211c YDR394w
YBR211c YKL002w
YBR211c YOR269w
YBR212w YDL167c
YBR213w YMR206w
YBR214w YJL124c
YBR215w YDR052c
YBR215w YLR103c
YBR215w YLR453c
YBR216c YKL068w
YBR216c YML007w
YBR217w YDR465c
YBR217w YLL042c
YBR217w YLR031w
YBR217w YLR423c
YBR217w YMR047c
YBR217w YNR007c
YBR217w YPL149w
YBR218c YER065c
YBR220c YJR063w
YBR221c YBR229c
YBR221c YER081w
YBR221c YLR218c
YBR221c YLR345w
YBR221c YLR418c
YBR228w YJR063w
YBR228w YLR135w
YBR229c YFL036w
YBR229c YGL084c
YBR229c YGR157w
YBR229c YHR101c
YBR229c YHR108w
YBR229c YJL095w
YBR229c YKL203c
YBR229c YLR087c
YBR229c YMR200w
YBR229c YMR307w
YBR229c YOR069w
YBR229c YOR070c
YBR230c YDR506c
YBR230c YOR014w
YBR231c YCL016c
YBR231c YDR150w
YBR231c YEL003w
YBR231c YER016w
YBR231c YGL070c
YBR231c YGR078c
YBR231c YJR091c
YBR231c YLR103c
YBR231c YLR200w
YBR231c YLR330w
YBR231c YML094w
YBR231c YMR263w
YBR231c YNL153c
YBR231c YNR030w
YBR231c YPL181w
YBR231c YPR135w
YBR233w YER165w
YBR233w YMR173w
YBR234c YDR129c
YBR234c YEL003w
YBR234c YEL031w
YBR234c YER022w
YBR234c YER083c
YBR234c YER122c
YBR234c YER149c
YBR234c YER155c
YBR234c YFR040w
YBR234c YHL027w
YBR234c YHR142w
YBR234c YJL183w
YBR234c YJR032w
YBR234c YJR075w
YBR234c YJR117w
YBR234c YJR118c
YBR234c YLR200w
YBR234c YLR268w
YBR234c YLR337c
YBR234c YLR370c
YBR234c YLR453c
YBR234c YMR109w
YBR234c YMR198w
YBR234c YNL153c
YBR234c YNL298w
YBR234c YNL322c
YBR234c YOR216c
YBR234c YPL234c
YBR235w YGL027c
YBR237w YDL030w
YBR237w YDL043c
YBR237w YJL203w
YBR238c YKR043c
YBR239c YMR144w
YBR239c YOR317w
YBR241c YER081w
YBR242w YKL002w
YBR243c YER081w
YBR244w YLR117c
YBR249c YEL047c
YBR249c YOR050c
YBR252w YPL070w
YBR253w YMR112c
YBR254c YDR108w
YBR254c YDR246w
YBR254c YDR407c
YBR254c YDR472w
YBR254c YGR166w
YBR254c YJR116w
YBR254c YML077w
YBR254c YMR218c
YBR255w YCR009c
YBR255w YDR388w
YBR255w YIL106w
YBR255w YLR200w
YBR255w YML094w
YBR260c YGR196c
YBR260c YJL058c
YBR260c YMR032w
YBR260c YNL233w
YBR260c YOR181w
YBR260c YPL031c
YBR261c YDR465c
YBR263w YML018c
YBR264c YIL034c
YBR265w YCR107w
YBR266c YPR031w
YBR270c YER093c
YBR270c YGR249w
YBR270c YHR166c
YBR270c YJL039c
YBR270c YLR424w
YBR270c YMR236w
YBR270c YNL004w
